Nome scuola;Indirizzo;Grado;Forma
I.C. Falcone Borsellino - Scuola Primaria Valerio Catullo;Via Salvo D'Acquisto 22, Lazise;Primaria;Pubblica
I.C. Falcone Borsellino - Scuola secondaria 1° grado Nazario Sauro;Via Salvo D'Acquisto 22, Lazise;Secondaria I Grado;Pubblica
I.C. Falcone Borsellino - Scuola Primaria ;Via M. Montessori 2, Colà di Lazise;Primaria;Pubblica
Scuola dell'Infanzia Giandanese Bernini;Via Prà del Principe Lazise;Infanzia;Privata
Scuola dell'Infanzia San Giorgio Martire;Via dei Miniscalchi, Colà di Lazise;Infanzia;Privata
Scuola dell'Infanzia Mater Amabilis;Via Porto Pacengo;Infanzia;Privata
Nido Integrato Mater Amabilis;Via Porto Pacengo;Asilo nido;Privata
Asilo Nido Il Girasole;Via Pergole Lazise;Asilo nido;Privata
