Nome scuola;Indirizzo;Grado;Forma
Scuola Primaria “Negri di Sanfront” di Pastrengo;Via 1° Maggio, 1 - Pastrengo (VR) Italy  ;Primaria;Pubblica
Scuola Secondaria di 1°grado “Negri di Sanfront” di Pastrengo;Via 1° Maggio, 1 - Pastrengo (VR) Italy  ;Secondaria I Grado;Pubblica
