Nome scuola;Indirizzo;Grado;Forma
Scuola Primaria G.B. Angelini;Via Cesare Pavese, 6, 37014 Castelnuovo del Garda VR;Primaria;Pubblica
'Scuola Dell''Infanzia Xi Aprile 1848';Via Cesare Pavese, 10, 37014 Castelnuovo del Garda VR;Infanzia;Privata
Asilo Nido Comunale Castelfiorito;Via Cesare Pavese, 8, 37014 Castelnuovo del Garda VR;Asilo nido;Pubblica
'Scuola dell''Infanzia SS. Innocenti Sandrà';Via Don L. Milani, 2 37014, Sandrà VR;Infanzia;Privata
Scuola Primaria Pietro Caliari;P. Repubblica, 3, 37014 Sandrà VR;Primaria;Pubblica
Scuola Primaria San Lorenzo;Piazza Berto Barbarani,1 37014 Cavalcaselle VR;Infanzia;Pubblica
Scuola Materna Don Giuseppe Manganotti;Piazza Berto Barbarani,3 37014 Cavalcaselle VR;Infanzia;Privata
Asilo Nido La Pigotta;'Via dell''Artigliere,2 37014 Castelnuovo del Garda VR';Infanzia;Privata
Istituto Comprensivo A. Montini;Viale degli studi,1 37014 Castelnuovo del Garda VR;Secondaria I Grado;Pubblica
