Nome scuola;Indirizzo;Grado;Forma
"Micronido ""Oasi del sorriso""";Via Cesare Battisti n. 3A;Asilo nido;Privata
"Asilo nido ""Il piccolo puzzle""";Via San Martino n. 14;Asilo nido;Privata
Fondazione Don Gedeone Massaggia;Via Asilo n.7;Infanzia;Privata
"Scuola Materna ""Maria Ausiliatrice""";Via San Martino n. 16;Infanzia;Privata
Scuola Materna di Isolalta;Via Villafranca n. 76;Infanzia;Privata
Scuola materna statale Arcobaleno;Viale Bassini n. 1;Infanzia;Pubblica
Scuola primaria Italo Montemezzi;Viale Bassini n. 4;Primaria;Pubblica
Scuola secondaria di primo grado di Vigasio;Viale Bassini n. 6;Secondaria I Grado;Pubblica
